Elapsed Hours (since 7:00),Female_Post_FED001_090321.csv,Female_Post_FED002_090321.csv,Female_Post_FED003_090321.csv,Female_Post_FED004_090321.csv,Female_Post_FED005_090321.csv,Female_Post_FED006_090321.csv,Male_Post_FED001_061621.csv,Male_Post_FED002_061621.csv,Male_Post_FED003_061621.csv,Male_Post_FED005_061621.csv,Male_Post_FED006_061621.csv,Male_Post_FED009_061621.csv,Female_Pre_FED001_082621.csv,Female_Pre_FED002_082621.csv,Female_Pre_FED003_082621.csv,Female_Pre_FED004_082621.csv,Female_Pre_FED005_082621.csv,Female_Pre_FED006_082621.csv,Male_Pre_FED001_060921.csv,Male_Pre_FED002_060921.csv,Male_Pre_FED003_060921.csv,Male_Pre_FED005_060921.csv,Male_Pre_FED006_060921.csv,Male_Pre_FED009_060921.csv,Post,Post SEM,Pre,Pre SEM
76.0,171.0,148.0,12.0,0.0,108.0,112.0,18.0,9.0,10.0,6.0,6.0,5.0,,,,,,,,,,,,,50.416666666666664,18.58577915689001,,0.0
77.0,133.0,76.0,9.0,20.0,180.0,92.0,16.0,29.0,44.0,10.0,0.0,7.0,,,,,,,,,,,,,51.333333333333336,16.599257620006792,,0.0
78.0,29.0,34.0,0.0,4.0,111.0,54.0,6.0,9.0,46.0,13.0,13.0,13.0,,,,,,,,,,,,,27.666666666666668,9.04729436646865,,0.0
79.0,12.0,73.0,8.0,9.0,172.0,121.0,,4.0,24.0,7.0,0.0,7.0,,,,,,,,,,,,,39.72727272727273,17.365635296648332,,0.0
80.0,33.0,95.0,16.0,24.0,74.0,134.0,,1.0,20.0,24.0,18.0,17.0,,,,,,,,,,,,,41.45454545454545,12.455275360164492,,0.0
81.0,58.0,162.0,44.0,14.0,218.0,49.0,,9.0,36.0,0.0,24.0,31.0,,,,,,,,,,,,,58.63636363636363,20.617412203048502,,0.0
82.0,108.0,108.0,30.0,18.0,86.0,160.0,,41.0,89.0,31.0,25.0,24.0,,,,,,,,,,,,,65.45454545454545,14.20138510297412,,0.0
83.0,78.0,161.0,9.0,31.0,158.0,213.0,,40.0,93.0,18.0,41.0,62.0,,,,,,,,,,,,,82.18181818181819,20.267671607678423,,0.0
84.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0
85.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
86.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
87.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
88.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
89.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
90.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
91.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
92.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
93.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
94.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
95.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
96.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
97.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
98.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
99.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
101.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
102.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
103.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
104.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
105.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
106.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
107.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
108.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
109.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
110.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
111.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
112.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
113.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
114.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
115.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
116.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
117.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
118.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
119.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
120.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
121.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
122.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
123.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
124.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
125.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
126.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
127.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
128.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
129.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
130.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
131.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
132.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
133.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
134.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
135.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
136.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
137.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
138.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
139.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
140.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
141.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
142.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
143.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
144.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
145.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
146.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
147.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
148.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
149.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
150.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
151.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
152.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
153.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
154.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
155.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
156.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
157.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
158.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
159.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
160.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
