Item1,Item2,Item3,Item4,Item5
41109.517145599995,False,NaN,NaN,False
41110.023820800001,False,NaN,NaN,False
41110.5294976,False,NaN,NaN,False
41111.014336,False,NaN,NaN,False
41111.068428799997,False,NaN,NaN,False
41111.100070399996,False,122.627739,355.58844,False
41111.146534399995,False,120.609314,296.578156,False
41111.179084799995,False,122.975731,359.326538,False
41111.211788799999,False,122.936432,359.438019,False
41111.242444799995,False,122.685539,355.262848,False
41111.284620799997,False,122.531013,355.853638,False
41111.305868799995,False,122.563255,355.867432,False
41111.343359999999,False,122.541061,355.833649,False
41111.370726399997,False,122.52195,356.182434,False
41111.418982399999,False,122.719856,358.406769,False
41111.451852799997,False,122.492859,356.069305,False
41111.4834176,False,122.80835,360.759888,False
41111.516070400001,False,122.56562,355.951904,False
41111.548595200002,False,122.818153,358.752594,False
41111.580876799999,False,122.601601,356.091797,False
41111.614694399999,False,122.564949,355.710327,False
41111.659763199998,False,122.635681,355.786377,False
41111.691430399995,False,122.514671,355.764832,False
41111.723545599998,False,122.550934,356.223145,False
41111.755020799996,False,122.504265,355.937897,False
41111.786943999999,False,122.647415,355.385559,False
41111.819775999997,False,122.571991,355.711151,False
41111.851481599995,False,122.688042,358.849945,False
41111.884160000001,False,122.653999,355.439117,False
41111.932134399998,False,122.951271,358.66272,False
41111.963750399998,False,122.650429,354.891357,False
41111.998182399999,False,122.713074,355.625122,False
41112.027724799998,False,122.659813,355.130096,False
41112.059174399998,False,122.709877,358.506958,False
41112.092582400001,False,123.034752,358.470764,False
41112.123545599999,False,123.023262,358.82193,False
41112.155264000001,False,120.509369,296.799042,False
41112.202841599996,False,122.54792,355.729919,False
41112.234943999996,False,122.689644,355.075409,False
41112.270566399995,False,122.505974,356.083374,False
41112.303039999999,False,123.031319,358.296051,False
41112.3332352,False,123.161362,358.929688,False
41112.3655296,False,123.011047,358.553802,False
41112.3984384,False,120.561829,297.121552,False
41112.429913599997,False,122.63591,355.358368,False
41112.475609599998,False,120.036308,297.146667,False
41112.507020799996,False,122.693573,355.065491,False
41112.543014399998,False,123.064133,358.44696,False
41112.571737599996,False,122.995102,359.08429,False
41112.603379200002,False,122.692429,355.31427,False
41112.634892800001,False,122.657219,355.213135,False
41112.668544,False,122.657913,355.390106,False
41112.715699199995,False,123.054115,358.516449,False
41112.748966399995,False,120.090332,297.198578,False
41112.779532799999,True,630.482971,59.4345818,False
41112.812339199998,False,123.164536,358.770386,False
41112.845875200001,False,122.671394,355.310699,False
41112.875737599999,False,120.049919,296.851837,False
41112.908441599997,False,123.118301,358.572845,False
41112.939046399995,False,123.626221,421.953247,False
41112.987417600001,False,123.091873,358.5466,False
41113.021427200001,False,122.936188,359.298187,False
41113.0530688,False,122.944885,361.933685,False
41113.083379199998,False,123.131729,359.090607,False
41113.1152,False,123.850403,420.989899,False
41113.147673599997,False,122.647797,355.088776,False
41113.182771200001,False,123.081306,358.493713,False
41113.212403199999,True,632.561096,74.7918625,False
41113.260774399998,False,122.701767,355.417816,False
41113.291417599998,True,623.026306,79.2706223,False
41113.324761600001,True,619.078125,81.1383896,False
41113.355417599996,True,613.446777,79.4168777,False
41113.387852799999,True,607.524719,77.5498581,False
41113.419481600002,True,604.516907,77.4003372,False
41113.453900799999,True,603.529114,77.5209198,False
41113.499199999998,True,602.161377,78.1623688,False
41113.532057600001,True,599.123962,77.4245987,False
41113.564262399996,True,600.403564,75.3448639,False
41113.596275199998,True,598.5578,77.779686,False
41113.628198400002,True,601.732056,84.8864746,False
41113.6604544,True,605.414001,93.8325806,False
41113.6938496,True,608.077148,98.1600266,False
41113.724236800001,True,608.749817,97.2857742,False
41113.772940800001,True,609.531799,103.313393,False
41113.804096,True,616.368652,93.5052185,False
41113.8350976,True,618.402222,90.7243271,False
41113.86752,True,621.779297,87.0758972,False
41113.900159999997,True,619.661804,82.1697311,False
41113.931775999998,True,612.695313,83.1943207,False
41113.964031999996,True,600.249817,82.1705246,False
41113.997375999999,True,580.305908,80.6039047,False
41114.044697599995,True,554.506592,77.1514893,False
41114.076095999997,True,509.310455,78.4571533,False
41114.109235199998,True,485.412445,76.4217758,False
41114.138841599997,True,466.028381,76.3544083,False
41114.172095999995,True,454.723663,76.5035477,False
41114.205823999997,True,458.583282,75.2718811,False
41114.235507199999,True,461.251099,73.7764053,False
41114.267596799997,True,469.091644,68.7829514,False
41114.317081599998,True,456.906158,72.5589523,False
41114.347750399997,True,452.642578,78.5162125,False
41114.379468799998,True,462.435638,76.7153168,False
41114.413503999996,True,477.335052,75.1405182,False
41114.444646399999,True,459.495728,82.9658432,False
41114.476940799999,True,439.799896,92.7587433,False
41114.509875199998,True,455.164032,89.8201065,False
41114.556057599999,True,435.254242,102.458946,False
41114.586956799998,True,430.866058,103.938705,False
41114.621094399998,True,429.469238,106.631683,False
41114.651289599999,True,435.109589,112.53373,False
41114.683519999999,True,434.645264,115.034622,False
41114.717107199998,True,433.653076,117.953308,False
41114.748543999995,True,433.198822,119.680969,False
41114.780095999995,True,431.235687,117.86525,False
41114.829414399996,True,431.684753,116.869339,False
41114.860236799999,True,429.041016,116.787514,False
41114.892249600001,True,429.621368,115.31572,False
41114.926015999998,True,429.135651,116.067497,False
41114.956108799997,True,430.766357,119.905823,False
41114.988019199998,True,430.104309,120.445679,False
41115.020697599997,True,428.946899,124.004524,False
41115.051942400001,True,426.344421,126.194725,False
41115.099724799999,True,425.109894,128.168106,False
41115.133798399998,True,420.207031,138.105927,False
41115.163980799996,True,414.660675,148.26326,False
41115.196070400001,True,406.726105,155.427475,False
41115.229593600001,False,399.586517,163.737213,False
41115.259891199996,False,395.387756,175.807419,False
41115.291929599996,False,385.768127,193.730606,False
41115.340364799995,False,377.575165,207.518875,False
41115.371340799997,False,367.163422,217.735962,False
41115.4050432,False,357.432404,226.202347,False
41115.436902399997,False,349.42392,233.178299,False
41115.468070399998,False,342.668365,239.829575,False
41115.499737599996,False,334.678741,246.715088,False
41115.532262399996,False,329.967316,256.993805,False
41115.566732799998,False,327.595825,267.934662,False
41115.612710399997,False,328.768402,278.863678,False
41115.6436608,False,326.723877,286.781189,False
41115.677056,False,325.517365,294.197632,False
41115.7113856,False,323.593628,303.09494,False
41115.743436799996,False,322.806335,313.687653,False
41115.771916799997,False,338.97876,326.279785,False
41115.809574399995,False,338.774628,373.496918,False
41115.838156799997,False,331.205444,395.151978,False
41115.885606399999,False,330.862,387.356018,False
41115.917209599997,False,328.806061,417.399963,False
41115.947801599999,False,324.491852,449.421631,False
41115.981439999996,False,318.33548,458.492615,False
41116.013439999995,False,308.248383,467.655212,False
41116.043737599997,False,301.957458,473.977448,False
41116.076902399996,False,291.918365,479.209442,False
41116.110105599997,False,280.422546,481.887634,False
41116.155878400001,False,272.313538,486.225464,False
41116.188633599995,False,262.729828,491.728119,False
41116.219814399999,False,258.19278,494.032257,False
41116.252735999995,False,246.33374,498.034485,False
41116.284249600001,False,241.832291,501.739655,False
41116.316620799997,False,248.718277,500.993622,False
41116.347878399996,False,255.186676,499.246063,False
41116.396313599995,False,256.556122,496.593536,False
41116.428223999996,False,256.89502,494.855194,False
41116.461401599998,False,258.321167,493.883087,False
41116.493107199996,False,260.103058,491.88205,False
41116.527948800001,False,265.26062,492.335876,False
41116.558220799998,False,269.751251,492.758942,False
41116.587814400002,False,272.712738,491.467896,False
41116.620518399999,False,270.435211,489.344727,False
41116.667737600001,False,266.836182,489.042542,False
41116.700288,False,254.225525,489.214661,False
41116.732876800001,False,241.545319,488.256409,False
41116.764659199995,False,230.529633,487.048767,False
41116.797913599999,False,217.904083,486.009155,False
41116.828121599996,False,203.893433,485.936462,False
41116.8600448,False,184.198242,484.230591,False
41116.893977599997,False,169.996796,482.450867,False
41116.940172800001,False,162.921021,483.066895,False
41116.972211200002,False,153.916641,483.158417,False
41117.00576,False,145.125031,482.590088,False
41117.036262399997,False,138.252563,483.211487,False
41117.068608000001,False,128.432358,481.909119,False
41117.099878399997,False,127.787041,483.055817,False
41117.133798399998,False,124.983307,481.861633,False
41117.180748799998,False,125.601387,480.762695,False
41117.212928000001,False,125.772575,480.43811,False
41117.244352000002,False,126.074165,481.025604,False
41117.277670399999,False,126.535606,480.988281,False
41117.308633599998,False,123.612778,483.992554,False
41117.3407104,False,124.592064,480.291321,False
41117.372607999998,False,122.707237,477.508423,False
41117.4052352,False,119.553284,477.06131,False
41117.451468799998,False,116.000153,478.024048,False
41117.483865599999,False,110.100471,476.657349,False
41117.516953599996,False,106.483894,478.834534,False
41117.548313599997,False,105.468765,482.77005,False
41117.579955199995,False,105.369583,484.347717,False
41117.612863999995,False,105.919754,484.68927,False
41117.646015999999,False,106.575806,485.645996,False
41117.6778624,False,108.284683,485.782257,False
41117.724479999997,False,111.011536,486.247498,False
41117.758195199996,False,112.452995,484.924377,False
41117.790233599997,False,112.130623,483.53653,False
41117.820057600002,False,112.602921,482.083344,False
41117.852608000001,False,111.579147,480.292542,False
41117.884774400001,False,128.416092,481.096283,False
41117.918732799997,False,128.241516,481.068665,False
41117.948531199996,False,111.363747,479.397552,False
41117.996326399996,False,110.744972,479.349976,False
41118.030246399998,False,110.672531,479.749817,False
41118.064447999997,False,110.355293,479.828613,False
41118.094656000001,False,110.566147,480.357849,False
41118.1255552,False,112.830025,480.81073,False
41118.158758400001,False,110.719193,480.100616,False
41118.1886208,False,112.631721,481.786835,False
41118.236799999999,False,113.34919,482.295441,False
41118.268096,False,111.80452,478.140656,False
41118.302080000001,False,109.642883,470.42691,False
41118.333145600001,False,105.912903,458.508392,False
41118.364607999996,False,103.670479,445.517639,False
41118.396339200001,False,103.416649,425.134064,False
41118.4288256,False,106.858109,401.767517,False
41118.461337599998,False,109.294609,384.505127,False
41118.508697599995,False,107.554642,374.337738,False
41118.540275200001,False,109.158653,368.243256,False
41118.572979199998,False,115.666527,358.807617,False
41118.606643200001,False,127.109665,348.07489,False
41118.638783999995,False,143.03447,336.644714,False
41118.668441599999,False,160.424393,324.862762,False
41118.701695999996,False,188.413254,311.679718,False
41118.7330048,False,217.195358,297.296204,False
41118.781081599998,False,243.032547,283.576141,False
41118.812556799996,False,272.246307,269.525818,False
41118.844748799995,False,305.020233,253.409637,False
41118.877119999997,False,335.529663,241.054047,False
41118.910707199997,False,357.397156,233.246033,False
41118.940735999997,False,379.541138,226.23378,False
41118.973568000001,False,399.300262,218.358459,False
41119.021631999996,True,412.43161,212.615875,False
41119.053273599995,True,431.370087,208.594498,False
41119.084236800001,True,441.96283,202.898209,False
41119.117017600001,True,449.567352,198.748444,False
41119.148377599995,True,460.013306,199.936707,False
41119.181478400002,True,468.688019,198.349792,False
41119.2137984,True,467.598724,199.89473,False
41119.244492799997,True,460.747803,197.087128,False
41119.2929152,True,450.653931,195.856247,False
41119.325849599998,True,444.01004,194.048584,False
41119.356172799999,True,440.210724,192.439529,False
41119.390207999997,True,438.022736,191.511429,False
41119.421439999998,True,438.295593,191.040466,False
41119.452735999999,True,439.994049,192.510162,False
41119.484851199995,True,442.260223,194.18129,False
41119.516953599996,True,445.188904,195.401093,False
41119.566527999996,True,450.751465,196.177307,False
41119.596492799996,True,459.727234,197.185333,False
41119.629017599997,True,475.861053,198.887482,False
41119.662131199999,True,499.91217,202.520187,False
41119.693068799999,True,531.904602,207.932632,False
41119.724851200001,True,559.505798,214.171234,False
41119.758604800001,True,572.772522,218.322769,False
41119.789696,True,571.979553,218.925583,False
41119.837580799998,True,572.505493,217.300507,False
41119.871974399997,True,572.266052,215.725861,False
41119.900799999996,True,568.875305,213.28186,False
41119.9324672,True,566.259277,213.674973,False
41119.965759999999,True,565.384033,213.470749,False
41119.9966976,True,567.914551,218.980148,False
41120.029081599998,True,569.000366,224.819077,False
