Time,Activity wustl-activity.wakefield-0002cc01000005a2
2/29/2020 12:00,
2/29/2020 13:00,
2/29/2020 14:00,
2/29/2020 15:00,
2/29/2020 16:00,
2/29/2020 17:00,
2/29/2020 18:00,
2/29/2020 19:00,
2/29/2020 20:00,
2/29/2020 21:00,
2/29/2020 22:00,
2/29/2020 23:00,
3/1/2020 0:00,
3/1/2020 1:00,
3/1/2020 2:00,
3/1/2020 3:00,
3/1/2020 4:00,
3/1/2020 5:00,
3/1/2020 6:00,
3/1/2020 7:00,
3/1/2020 8:00,
3/1/2020 9:00,
3/1/2020 10:00,
3/1/2020 11:00,
3/1/2020 12:00,
3/1/2020 13:00,
3/1/2020 14:00,
3/1/2020 15:00,
3/1/2020 16:00,
3/1/2020 17:00,
3/1/2020 18:00,
3/1/2020 19:00,
3/1/2020 20:00,
3/1/2020 21:00,
3/1/2020 22:00,
3/1/2020 23:00,
3/2/2020 0:00,
3/2/2020 1:00,
3/2/2020 2:00,
3/2/2020 3:00,
3/2/2020 4:00,
3/2/2020 5:00,
3/2/2020 6:00,
3/2/2020 7:00,
3/2/2020 8:00,
3/2/2020 9:00,
3/2/2020 10:00,
3/2/2020 11:00,19.4
3/2/2020 12:00,19.5
3/2/2020 13:00,0.542
3/2/2020 14:00,3.91
3/2/2020 15:00,1.68
3/2/2020 16:00,5.62
3/2/2020 17:00,3.72
3/2/2020 18:00,8.03
3/2/2020 19:00,17.7
3/2/2020 20:00,29.2
3/2/2020 21:00,34
3/2/2020 22:00,37.5
3/2/2020 23:00,42.8
3/3/2020 0:00,44.5
3/3/2020 1:00,39.6
3/3/2020 2:00,16.1
3/3/2020 3:00,37.4
3/3/2020 4:00,19.2
3/3/2020 5:00,29.5
3/3/2020 6:00,25.5
3/3/2020 7:00,15.9
3/3/2020 8:00,19.9
3/3/2020 9:00,4.37
3/3/2020 10:00,28.8
3/3/2020 11:00,0.0342
3/3/2020 12:00,11
3/3/2020 13:00,24.7
3/3/2020 14:00,18.5
3/3/2020 15:00,14.8
3/3/2020 16:00,5.57
3/3/2020 17:00,22
3/3/2020 18:00,17.5
3/3/2020 19:00,27.3
3/3/2020 20:00,40.5
3/3/2020 21:00,34.6
3/3/2020 22:00,34.5
3/3/2020 23:00,36.4
3/4/2020 0:00,47.5
3/4/2020 1:00,37.3
3/4/2020 2:00,53.2
3/4/2020 3:00,20.2
3/4/2020 4:00,27.1
3/4/2020 5:00,13.1
3/4/2020 6:00,42.4
3/4/2020 7:00,5.7
3/4/2020 8:00,7.38
3/4/2020 9:00,27
3/4/2020 10:00,25.4
3/4/2020 11:00,3.75
3/4/2020 12:00,9.61
3/4/2020 13:00,10.8
3/4/2020 14:00,29.3
3/4/2020 15:00,10.4
3/4/2020 16:00,6.25
3/4/2020 17:00,3.78
3/4/2020 18:00,24.5
3/4/2020 19:00,31.4
3/4/2020 20:00,28.4
3/4/2020 21:00,42
3/4/2020 22:00,37.2
3/4/2020 23:00,22.6
3/5/2020 0:00,37.1
3/5/2020 1:00,42.7
3/5/2020 2:00,26.1
3/5/2020 3:00,39.3
3/5/2020 4:00,16.1
3/5/2020 5:00,37.1
3/5/2020 6:00,34.2
3/5/2020 7:00,13.2
3/5/2020 8:00,17.2
3/5/2020 9:00,1.79
3/5/2020 10:00,18.8
3/5/2020 11:00,2.56
3/5/2020 12:00,16.8
3/5/2020 13:00,10.4
3/5/2020 14:00,1.68
3/5/2020 15:00,5.91
3/5/2020 16:00,5.28
3/5/2020 17:00,6.66
3/5/2020 18:00,12.2
3/5/2020 19:00,19.8
3/5/2020 20:00,28.9
3/5/2020 21:00,31
3/5/2020 22:00,36.7
3/5/2020 23:00,0.455
3/6/2020 0:00,43
3/6/2020 1:00,20.5
3/6/2020 2:00,7.11
3/6/2020 3:00,17.8
3/6/2020 4:00,13.1
3/6/2020 5:00,4.31
3/6/2020 6:00,24.8
3/6/2020 7:00,30.1
3/6/2020 8:00,13.2
3/6/2020 9:00,16.4
3/6/2020 10:00,0.459
3/6/2020 11:00,1.89
3/6/2020 12:00,10.8
3/6/2020 13:00,1.11
3/6/2020 14:00,0.0612
3/6/2020 15:00,0.412
3/6/2020 16:00,8.95
3/6/2020 17:00,0.92
3/6/2020 18:00,6.93
3/6/2020 19:00,5.52
3/6/2020 20:00,7.28
3/6/2020 21:00,25
3/6/2020 22:00,20.3
3/6/2020 23:00,32.1
3/7/2020 0:00,31
3/7/2020 1:00,33.8
3/7/2020 2:00,25.2
3/7/2020 3:00,24.4
3/7/2020 4:00,5.99
3/7/2020 5:00,24.5
3/7/2020 6:00,22.1
3/7/2020 7:00,19
3/7/2020 8:00,12.3
3/7/2020 9:00,26.3
3/7/2020 10:00,1.32
3/7/2020 11:00,17
3/7/2020 12:00,0.0372
3/7/2020 13:00,0.0614
3/7/2020 14:00,
