Time,Activity wustl-activity.wakefield-0002cc010000059e
2/29/2020 12:00,0.504
2/29/2020 13:00,2.58
2/29/2020 14:00,3.58
2/29/2020 15:00,0.785
2/29/2020 16:00,4.32
2/29/2020 17:00,2.09
2/29/2020 18:00,2.3
2/29/2020 19:00,2.95
2/29/2020 20:00,28.3
2/29/2020 21:00,25.4
2/29/2020 22:00,7.65
2/29/2020 23:00,23.7
3/1/2020 0:00,5.83
3/1/2020 1:00,49.4
3/1/2020 2:00,17.9
3/1/2020 3:00,22.5
3/1/2020 4:00,18.9
3/1/2020 5:00,16.2
3/1/2020 6:00,34.1
3/1/2020 7:00,35.7
3/1/2020 8:00,1.41
3/1/2020 9:00,2.27
3/1/2020 10:00,16.9
3/1/2020 11:00,3
3/1/2020 12:00,0.168
3/1/2020 13:00,2.18
3/1/2020 14:00,0.118
3/1/2020 15:00,0.881
3/1/2020 16:00,1.96
3/1/2020 17:00,7.29
3/1/2020 18:00,2.62
3/1/2020 19:00,11.6
3/1/2020 20:00,17.6
3/1/2020 21:00,23
3/1/2020 22:00,21.6
3/1/2020 23:00,8.6
3/2/2020 0:00,3.35
3/2/2020 1:00,43
3/2/2020 2:00,8.01
3/2/2020 3:00,0.644
3/2/2020 4:00,8.48
3/2/2020 5:00,24.3
3/2/2020 6:00,0.911
3/2/2020 7:00,5.58
3/2/2020 8:00,3.59
3/2/2020 9:00,0.524
3/2/2020 10:00,0.954
3/2/2020 11:00,8.22
3/2/2020 12:00,29.4
3/2/2020 13:00,0.268
3/2/2020 14:00,3.96
3/2/2020 15:00,0.831
3/2/2020 16:00,3.62
3/2/2020 17:00,4.32
3/2/2020 18:00,13.1
3/2/2020 19:00,11.6
3/2/2020 20:00,17.7
3/2/2020 21:00,5.71
3/2/2020 22:00,22.5
3/2/2020 23:00,23.9
3/3/2020 0:00,2.12
3/3/2020 1:00,38.6
3/3/2020 2:00,4.8
3/3/2020 3:00,10.9
3/3/2020 4:00,10.3
3/3/2020 5:00,19.4
3/3/2020 6:00,7.87
3/3/2020 7:00,2.49
3/3/2020 8:00,1.22
3/3/2020 9:00,0.164
3/3/2020 10:00,0.727
3/3/2020 11:00,13
3/3/2020 12:00,0.439
3/3/2020 13:00,9.31
3/3/2020 14:00,6.91
3/3/2020 15:00,2.96
3/3/2020 16:00,0.911
3/3/2020 17:00,8.09
3/3/2020 18:00,8.69
3/3/2020 19:00,17
3/3/2020 20:00,32.3
3/3/2020 21:00,14.3
3/3/2020 22:00,13.2
3/3/2020 23:00,29.1
3/4/2020 0:00,8.22
3/4/2020 1:00,28
3/4/2020 2:00,3.85
3/4/2020 3:00,9.47
3/4/2020 4:00,10.8
3/4/2020 5:00,28.3
3/4/2020 6:00,23.6
3/4/2020 7:00,6.43
3/4/2020 8:00,13.9
3/4/2020 9:00,0.151
3/4/2020 10:00,0.789
3/4/2020 11:00,3.05
3/4/2020 12:00,2.81
3/4/2020 13:00,0.409
3/4/2020 14:00,0.17
3/4/2020 15:00,2.8
3/4/2020 16:00,4.18
3/4/2020 17:00,7.52
3/4/2020 18:00,3.62
3/4/2020 19:00,16.4
3/4/2020 20:00,24.5
3/4/2020 21:00,31.6
3/4/2020 22:00,6.79
3/4/2020 23:00,24.1
3/5/2020 0:00,10.9
3/5/2020 1:00,22.6
3/5/2020 2:00,25.4
3/5/2020 3:00,3.97
3/5/2020 4:00,7.8
3/5/2020 5:00,34.3
3/5/2020 6:00,2.89
3/5/2020 7:00,0.551
3/5/2020 8:00,0.73
3/5/2020 9:00,9.77
3/5/2020 10:00,6.46
3/5/2020 11:00,2.41
3/5/2020 12:00,2.5
3/5/2020 13:00,0.364
3/5/2020 14:00,0.12
3/5/2020 15:00,2.56
3/5/2020 16:00,1.42
3/5/2020 17:00,12.4
3/5/2020 18:00,1.84
3/5/2020 19:00,9.9
3/5/2020 20:00,18.9
3/5/2020 21:00,20.6
3/5/2020 22:00,8.1
3/5/2020 23:00,0.135
3/6/2020 0:00,42.1
3/6/2020 1:00,13
3/6/2020 2:00,26.8
3/6/2020 3:00,2.18
3/6/2020 4:00,15.6
3/6/2020 5:00,3.95
3/6/2020 6:00,31.6
3/6/2020 7:00,20.9
3/6/2020 8:00,6.27
3/6/2020 9:00,50.1
3/6/2020 10:00,18.8
3/6/2020 11:00,8.64
3/6/2020 12:00,11.1
3/6/2020 13:00,5.56
3/6/2020 14:00,20.4
3/6/2020 15:00,9.37
3/6/2020 16:00,1.81
3/6/2020 17:00,12.9
3/6/2020 18:00,7.6
3/6/2020 19:00,11.8
3/6/2020 20:00,28.5
3/6/2020 21:00,20.5
3/6/2020 22:00,34.7
3/6/2020 23:00,20.1
3/7/2020 0:00,8.28
3/7/2020 1:00,38.1
3/7/2020 2:00,4.58
3/7/2020 3:00,22
3/7/2020 4:00,12.2
3/7/2020 5:00,20.2
3/7/2020 6:00,15.2
3/7/2020 7:00,43
3/7/2020 8:00,4.67
3/7/2020 9:00,24.4
3/7/2020 10:00,1.26
3/7/2020 11:00,1.8
3/7/2020 12:00,3.94
3/7/2020 13:00,2.63
3/7/2020 14:00,
