Time,Activity wustl-activity.wakefield-0002cc0100000576
2/29/2020 12:00,0.0578
2/29/2020 13:00,3.06
2/29/2020 14:00,0.0244
2/29/2020 15:00,1.86
2/29/2020 16:00,1.45
2/29/2020 17:00,0.158
2/29/2020 18:00,3.49
2/29/2020 19:00,19
2/29/2020 20:00,7.08
2/29/2020 21:00,14.1
2/29/2020 22:00,25.6
2/29/2020 23:00,9.75
3/1/2020 0:00,7.06
3/1/2020 1:00,26.2
3/1/2020 2:00,12
3/1/2020 3:00,20.4
3/1/2020 4:00,2.22
3/1/2020 5:00,10.3
3/1/2020 6:00,1.24
3/1/2020 7:00,6.04
3/1/2020 8:00,1.12
3/1/2020 9:00,6.4
3/1/2020 10:00,16.1
3/1/2020 11:00,1.59
3/1/2020 12:00,1.85
3/1/2020 13:00,0.0244
3/1/2020 14:00,4.1
3/1/2020 15:00,0.431
3/1/2020 16:00,2.37
3/1/2020 17:00,0.408
3/1/2020 18:00,4.8
3/1/2020 19:00,1.53
3/1/2020 20:00,16.5
3/1/2020 21:00,25.2
3/1/2020 22:00,15.6
3/1/2020 23:00,36.7
3/2/2020 0:00,41.7
3/2/2020 1:00,20.8
3/2/2020 2:00,5.92
3/2/2020 3:00,9.68
3/2/2020 4:00,11
3/2/2020 5:00,12.6
3/2/2020 6:00,18.1
3/2/2020 7:00,22.8
3/2/2020 8:00,0.999
3/2/2020 9:00,6.63
3/2/2020 10:00,0.245
3/2/2020 11:00,9.96
3/2/2020 12:00,2.73
3/2/2020 13:00,0.137
3/2/2020 14:00,0.205
3/2/2020 15:00,5.36
3/2/2020 16:00,1.66
3/2/2020 17:00,1.52
3/2/2020 18:00,16.9
3/2/2020 19:00,1.54
3/2/2020 20:00,11.1
3/2/2020 21:00,28
3/2/2020 22:00,13.9
3/2/2020 23:00,25.8
3/3/2020 0:00,12.6
3/3/2020 1:00,27.4
3/3/2020 2:00,15
3/3/2020 3:00,40.8
3/3/2020 4:00,9.07
3/3/2020 5:00,16.9
3/3/2020 6:00,22
3/3/2020 7:00,19
3/3/2020 8:00,4.86
3/3/2020 9:00,0.622
3/3/2020 10:00,4.07
3/3/2020 11:00,4.49
3/3/2020 12:00,10.2
3/3/2020 13:00,3.72
3/3/2020 14:00,4.16
3/3/2020 15:00,0.345
3/3/2020 16:00,3.47
3/3/2020 17:00,1.27
3/3/2020 18:00,1.26
3/3/2020 19:00,13.8
3/3/2020 20:00,8.31
3/3/2020 21:00,24.2
3/3/2020 22:00,47.5
3/3/2020 23:00,18.8
3/4/2020 0:00,19
3/4/2020 1:00,15
3/4/2020 2:00,0.767
3/4/2020 3:00,0.137
3/4/2020 4:00,6.06
3/4/2020 5:00,9.68
3/4/2020 6:00,16.8
3/4/2020 7:00,5.45
3/4/2020 8:00,17
3/4/2020 9:00,0.162
3/4/2020 10:00,9.58
3/4/2020 11:00,0.0244
3/4/2020 12:00,0.31
3/4/2020 13:00,0.787
3/4/2020 14:00,10.9
3/4/2020 15:00,0.117
3/4/2020 16:00,1.7
3/4/2020 17:00,1.32
3/4/2020 18:00,0.141
3/4/2020 19:00,8.66
3/4/2020 20:00,9.74
3/4/2020 21:00,13.4
3/4/2020 22:00,22.4
3/4/2020 23:00,15.7
3/5/2020 0:00,4.49
3/5/2020 1:00,14.1
3/5/2020 2:00,16.1
3/5/2020 3:00,7.28
3/5/2020 4:00,24.1
3/5/2020 5:00,24
3/5/2020 6:00,9.9
3/5/2020 7:00,7.11
3/5/2020 8:00,5.25
3/5/2020 9:00,1.55
3/5/2020 10:00,6.81
3/5/2020 11:00,4.11
3/5/2020 12:00,0.294
3/5/2020 13:00,11.6
3/5/2020 14:00,3.82
3/5/2020 15:00,0.62
3/5/2020 16:00,0.0502
3/5/2020 17:00,8.3
3/5/2020 18:00,1.93
3/5/2020 19:00,3.68
3/5/2020 20:00,4.9
3/5/2020 21:00,6.93
3/5/2020 22:00,21.7
3/5/2020 23:00,30.8
3/6/2020 0:00,39.4
3/6/2020 1:00,52.1
3/6/2020 2:00,7.31
3/6/2020 3:00,23.5
3/6/2020 4:00,9.26
3/6/2020 5:00,19.6
3/6/2020 6:00,41.9
3/6/2020 7:00,24.6
3/6/2020 8:00,12.4
3/6/2020 9:00,14.9
3/6/2020 10:00,2.44
3/6/2020 11:00,10.3
3/6/2020 12:00,4.51
3/6/2020 13:00,7.85
3/6/2020 14:00,2.02
3/6/2020 15:00,5.69
3/6/2020 16:00,2.62
3/6/2020 17:00,2.96
3/6/2020 18:00,7.35
3/6/2020 19:00,9.03
3/6/2020 20:00,39.2
3/6/2020 21:00,3
3/6/2020 22:00,13.8
3/6/2020 23:00,23.3
3/7/2020 0:00,26.5
3/7/2020 1:00,1.22
3/7/2020 2:00,0.299
3/7/2020 3:00,1.4
3/7/2020 4:00,1.5
3/7/2020 5:00,1.26
3/7/2020 6:00,24.8
3/7/2020 7:00,19.9
3/7/2020 8:00,5.62
3/7/2020 9:00,27
3/7/2020 10:00,0.0244
3/7/2020 11:00,0.0949
3/7/2020 12:00,0.0244
3/7/2020 13:00,6.31
3/7/2020 14:00,
